Dataset,Model,True_Value,Prediction,Residual
EI-reg,Emoopt-13b,0.545,0.479,0.06600000000000006
EI-reg,Emoopt-13b,0.266,0.375,-0.10899999999999999
EI-reg,Emoopt-13b,0.591,0.417,0.174
EI-reg,Emoopt-13b,0.585,0.542,0.04299999999999993
EI-reg,Emoopt-13b,0.485,0.375,0.10999999999999999
EI-reg,Emoopt-13b,0.394,0.521,-0.127
EI-reg,Emoopt-13b,0.719,0.542,0.17699999999999994
EI-reg,Emoopt-13b,0.727,0.562,0.16499999999999992
EI-reg,Emoopt-13b,0.515,0.542,-0.027000000000000024
EI-reg,Emoopt-13b,0.297,0.333,-0.03600000000000003
EI-reg,Emoopt-13b,0.328,0.417,-0.08899999999999997
EI-reg,Emoopt-13b,0.172,0.25,-0.07800000000000001
EI-reg,Emoopt-13b,0.25,0.188,0.062
EI-reg,Emoopt-13b,0.274,0.375,-0.10099999999999998
EI-reg,Emoopt-13b,0.591,0.375,0.21599999999999997
EI-reg,Emoopt-13b,0.484,0.417,0.067
EI-reg,Emoopt-13b,0.758,0.562,0.19599999999999995
EI-reg,Emoopt-13b,0.227,0.292,-0.06499999999999997
EI-reg,Emoopt-13b,0.397,0.458,-0.061
EI-reg,Emoopt-13b,0.387,0.396,-0.009000000000000008
EI-reg,Emoopt-13b,0.617,0.521,0.09599999999999997
EI-reg,Emoopt-13b,0.194,0.271,-0.07700000000000001
EI-reg,Emoopt-13b,0.703,0.812,-0.1090000000000001
EI-reg,Emoopt-13b,0.547,0.542,0.0050000000000000044
EI-reg,Emoopt-13b,0.516,0.375,0.14100000000000001
EI-reg,Emoopt-13b,0.578,0.354,0.22399999999999998
EI-reg,Emoopt-13b,0.734,0.792,-0.05800000000000005
EI-reg,Emoopt-13b,0.406,0.417,-0.010999999999999954
EI-reg,Emoopt-13b,0.25,0.375,-0.125
EI-reg,Emoopt-13b,0.828,0.833,-0.0050000000000000044
EI-reg,Emoopt-13b,0.364,0.542,-0.17800000000000005
EI-reg,Emoopt-13b,0.516,0.521,-0.0050000000000000044
EI-reg,Emoopt-13b,0.469,0.417,0.05199999999999999
EI-reg,Emoopt-13b,0.649,0.458,0.191
EI-reg,Emoopt-13b,0.515,0.542,-0.027000000000000024
EI-reg,Emoopt-13b,0.266,0.479,-0.21299999999999997
EI-reg,Emoopt-13b,0.781,0.646,0.135
EI-reg,Emoopt-13b,0.453,0.396,0.056999999999999995
EI-reg,Emoopt-13b,0.591,0.521,0.06999999999999995
EI-reg,Emoopt-13b,0.391,0.417,-0.025999999999999968
EI-reg,Emoopt-13b,0.47,0.583,-0.11299999999999999
EI-reg,Emoopt-13b,0.727,0.604,0.123
EI-reg,Emoopt-13b,0.359,0.25,0.10899999999999999
EI-reg,Emoopt-13b,0.364,0.354,0.010000000000000009
EI-reg,Emoopt-13b,0.438,0.479,-0.04099999999999998
EI-reg,Emoopt-13b,0.734,0.646,0.08799999999999997
EI-reg,Emoopt-13b,0.688,0.625,0.06299999999999994
EI-reg,Emoopt-13b,0.29,0.146,0.144
EI-reg,Emoopt-13b,0.328,0.396,-0.068
EI-reg,Emoopt-13b,0.281,0.354,-0.07299999999999995
EI-reg,Emoopt-13b,0.212,0.25,-0.038000000000000006
EI-reg,Emoopt-13b,0.576,0.417,0.15899999999999997
EI-reg,Emoopt-13b,0.406,0.417,-0.010999999999999954
EI-reg,Emoopt-13b,0.438,0.479,-0.04099999999999998
EI-reg,Emoopt-13b,0.406,0.438,-0.03199999999999997
EI-reg,Emoopt-13b,0.734,0.583,0.15100000000000002
EI-reg,Emoopt-13b,0.563,0.583,-0.020000000000000018
EI-reg,Emoopt-13b,0.719,0.667,0.051999999999999935
EI-reg,Emoopt-13b,0.333,0.417,-0.08399999999999996
EI-reg,Emoopt-13b,0.297,0.438,-0.14100000000000001
EI-reg,Emoopt-13b,0.889,0.583,0.30600000000000005
EI-reg,Emoopt-13b,0.567,0.479,0.08799999999999997
EI-reg,Emoopt-13b,0.924,0.708,0.21600000000000008
EI-reg,Emoopt-13b,0.833,0.771,0.061999999999999944
EI-reg,Emoopt-13b,0.5,0.583,-0.08299999999999996
EI-reg,Emoopt-13b,0.547,0.479,0.06800000000000006
EI-reg,Emoopt-13b,0.797,0.75,0.04700000000000004
EI-reg,Emoopt-13b,0.375,0.208,0.167
EI-reg,Emoopt-13b,0.484,0.479,0.0050000000000000044
EI-reg,Emoopt-13b,0.766,0.479,0.28700000000000003
EI-reg,Emoopt-13b,0.25,0.333,-0.08300000000000002
EI-reg,Emoopt-13b,0.344,0.458,-0.11400000000000005
EI-reg,Emoopt-13b,0.484,0.479,0.0050000000000000044
EI-reg,Emoopt-13b,0.341,0.312,0.029000000000000026
EI-reg,Emoopt-13b,0.625,0.479,0.14600000000000002
EI-reg,Emoopt-13b,0.303,0.125,0.178
EI-reg,Emoopt-13b,0.719,0.917,-0.19800000000000006
EI-reg,Emoopt-13b,0.422,0.458,-0.03600000000000003
EI-reg,Emoopt-13b,0.667,0.542,0.125
EI-reg,Emoopt-13b,0.75,0.604,0.14600000000000002
EI-reg,Emoopt-13b,0.281,0.292,-0.010999999999999954
EI-reg,Emoopt-13b,0.344,0.354,-0.010000000000000009
EI-reg,Emoopt-13b,0.29,0.25,0.03999999999999998
EI-reg,Emoopt-13b,0.545,0.333,0.21200000000000002
EI-reg,Emoopt-13b,0.563,0.521,0.041999999999999926
EI-reg,Emoopt-13b,0.672,0.542,0.13
EI-reg,Emoopt-13b,0.227,0.25,-0.022999999999999993
EI-reg,Emoopt-13b,0.545,0.458,0.08700000000000002
EI-reg,Emoopt-13b,0.435,0.333,0.10199999999999998
EI-reg,Emoopt-13b,0.396,0.479,-0.08299999999999996
EI-reg,Emoopt-13b,0.172,0.25,-0.07800000000000001
EI-reg,Emoopt-13b,0.409,0.458,-0.049000000000000044
EI-reg,Emoopt-13b,0.359,0.292,0.067
EI-reg,Emoopt-13b,0.548,0.438,0.11000000000000004
EI-reg,Emoopt-13b,0.172,0.208,-0.036000000000000004
EI-reg,Emoopt-13b,0.379,0.375,0.0040000000000000036
EI-reg,Emoopt-13b,0.359,0.25,0.10899999999999999
EI-reg,Emoopt-13b,0.688,0.75,-0.062000000000000055
EI-reg,Emoopt-13b,0.922,0.667,0.255
EI-reg,Emoopt-13b,0.594,0.479,0.11499999999999999
EI-reg,Emoopt-13b,0.937,0.75,0.18700000000000006
EI-reg,Emoopt-13b,0.75,0.792,-0.04200000000000004
EI-reg,Emoopt-13b,0.359,0.396,-0.03700000000000003
EI-reg,Emoopt-13b,0.516,0.458,0.057999999999999996
EI-reg,Emoopt-13b,0.5,0.583,-0.08299999999999996
EI-reg,Emoopt-13b,0.219,0.271,-0.05200000000000002
EI-reg,Emoopt-13b,0.578,0.479,0.09899999999999998
EI-reg,Emoopt-13b,0.545,0.396,0.14900000000000002
EI-reg,Emoopt-13b,0.375,0.396,-0.02100000000000002
EI-reg,Emoopt-13b,0.394,0.479,-0.08499999999999996
EI-reg,Emoopt-13b,0.406,0.354,0.052000000000000046
EI-reg,Emoopt-13b,0.545,0.688,-0.1429999999999999
EI-reg,Emoopt-13b,0.758,0.562,0.19599999999999995
EI-reg,Emoopt-13b,0.469,0.375,0.09399999999999997
EI-reg,Emoopt-13b,0.313,0.25,0.063
EI-reg,Emoopt-13b,0.227,0.396,-0.169
EI-reg,Emoopt-13b,0.734,0.562,0.17199999999999993
EI-reg,Emoopt-13b,0.583,0.521,0.061999999999999944
EI-reg,Emoopt-13b,0.797,0.708,0.08900000000000008
EI-reg,Emoopt-13b,0.712,0.542,0.16999999999999993
EI-reg,Emoopt-13b,0.328,0.354,-0.025999999999999968
EI-reg,Emoopt-13b,0.677,0.646,0.031000000000000028
EI-reg,Emoopt-13b,0.359,0.375,-0.016000000000000014
EI-reg,Emoopt-13b,0.548,0.542,0.006000000000000005
EI-reg,Emoopt-13b,0.348,0.375,-0.027000000000000024
EI-reg,Emoopt-13b,0.453,0.354,0.09900000000000003
EI-reg,Emoopt-13b,0.281,0.333,-0.05199999999999999
EI-reg,Emoopt-13b,0.875,0.812,0.06299999999999994
EI-reg,Emoopt-13b,0.379,0.375,0.0040000000000000036
EI-reg,Emoopt-13b,0.297,0.396,-0.09900000000000003
EI-reg,Emoopt-13b,0.397,0.312,0.08500000000000002
EI-reg,Emoopt-13b,0.172,0.375,-0.203
EI-reg,Emoopt-13b,0.391,0.521,-0.13
EI-reg,Emoopt-13b,0.871,0.583,0.28800000000000003
EI-reg,Emoopt-13b,0.364,0.417,-0.05299999999999999
EI-reg,Emoopt-13b,0.819,0.646,0.17299999999999993
EI-reg,Emoopt-13b,0.766,0.688,0.07800000000000007
EI-reg,Emoopt-13b,0.532,0.646,-0.11399999999999999
EI-reg,Emoopt-13b,0.672,0.562,0.10999999999999999
EI-reg,Emoopt-13b,0.483,0.417,0.066
EI-reg,Emoopt-13b,0.446,0.458,-0.01200000000000001
EI-reg,Emoopt-13b,0.712,0.646,0.06599999999999995
EI-reg,Emoopt-13b,0.469,0.271,0.19799999999999995
EI-reg,Emoopt-13b,0.613,0.646,-0.03300000000000003
EI-reg,Emoopt-13b,0.667,0.521,0.14600000000000002
EI-reg,Emoopt-13b,0.797,0.812,-0.015000000000000013
EI-reg,Emoopt-13b,0.492,0.479,0.013000000000000012
EI-reg,Emoopt-13b,0.677,0.521,0.15600000000000003
EI-reg,Emoopt-13b,0.29,0.271,0.01899999999999996
EI-reg,Emoopt-13b,0.453,0.479,-0.025999999999999968
EI-reg,Emoopt-13b,0.484,0.417,0.067
EI-reg,Emoopt-13b,0.625,0.583,0.04200000000000004
EI-reg,Emoopt-13b,0.766,0.479,0.28700000000000003
EI-reg,Emoopt-13b,0.453,0.354,0.09900000000000003
EI-reg,Emoopt-13b,0.375,0.479,-0.10399999999999998
EI-reg,Emoopt-13b,0.797,0.708,0.08900000000000008
EI-reg,Emoopt-13b,0.578,0.417,0.16099999999999998
EI-reg,Emoopt-13b,0.688,0.521,0.16699999999999993
EI-reg,Emoopt-13b,0.594,0.417,0.177
EI-reg,Emoopt-13b,0.672,0.479,0.19300000000000006
EI-reg,Emoopt-13b,0.766,0.646,0.12
EI-reg,Emoopt-13b,0.405,0.479,-0.07399999999999995
EI-reg,Emoopt-13b,0.697,0.438,0.25899999999999995
EI-reg,Emoopt-13b,0.172,0.146,0.025999999999999995
EI-reg,Emoopt-13b,0.563,0.417,0.14599999999999996
EI-reg,Emoopt-13b,0.422,0.271,0.15099999999999997
EI-reg,Emoopt-13b,0.188,0.188,0.0
EI-reg,Emoopt-13b,0.667,0.583,0.08400000000000007
EI-reg,Emoopt-13b,0.641,0.604,0.03700000000000003
EI-reg,Emoopt-13b,0.719,0.521,0.19799999999999995
EI-reg,Emoopt-13b,0.953,0.938,0.015000000000000013
EI-reg,Emoopt-13b,0.606,0.583,0.02300000000000002
EI-reg,Emoopt-13b,0.891,0.812,0.07899999999999996
EI-reg,Emoopt-13b,0.609,0.479,0.13
EI-reg,Emoopt-13b,0.406,0.354,0.052000000000000046
EI-reg,Emoopt-13b,0.563,0.479,0.08399999999999996
EI-reg,Emoopt-13b,0.375,0.354,0.02100000000000002
EI-reg,Emoopt-13b,0.391,0.458,-0.067
EI-reg,Emoopt-13b,0.25,0.375,-0.125
EI-reg,Emoopt-13b,0.453,0.521,-0.068
EI-reg,Emoopt-13b,0.453,0.312,0.14100000000000001
EI-reg,Emoopt-13b,0.344,0.312,0.03199999999999997
EI-reg,Emoopt-13b,0.409,0.354,0.05499999999999999
EI-reg,Emoopt-13b,0.391,0.417,-0.025999999999999968
EI-reg,Emoopt-13b,0.766,0.708,0.05800000000000005
EI-reg,Emoopt-13b,0.797,0.583,0.21400000000000008
EI-reg,Emoopt-13b,0.484,0.417,0.067
EI-reg,Emoopt-13b,0.697,0.646,0.050999999999999934
EI-reg,Emoopt-13b,0.531,0.583,-0.051999999999999935
EI-reg,Emoopt-13b,0.875,0.854,0.02100000000000002
EI-reg,Emoopt-13b,0.828,0.792,0.03599999999999992
EI-reg,Emoopt-13b,0.813,0.833,-0.020000000000000018
EI-reg,Emoopt-13b,0.547,0.562,-0.015000000000000013
EI-reg,Emoopt-13b,0.469,0.375,0.09399999999999997
EI-reg,Emoopt-13b,0.766,0.708,0.05800000000000005
EI-reg,Emoopt-13b,0.152,0.396,-0.24400000000000002
EI-reg,Emoopt-13b,0.485,0.583,-0.09799999999999998
EI-reg,Emoopt-13b,0.688,0.604,0.08399999999999996
EI-reg,Emoopt-13b,0.506,0.542,-0.03600000000000003
EI-reg,Emoopt-13b,0.803,0.646,0.15700000000000003
EI-reg,Emoopt-13b,0.469,0.479,-0.010000000000000009
EI-reg,Emoopt-13b,0.281,0.354,-0.07299999999999995
EI-reg,Emoopt-13b,0.57,0.646,-0.07600000000000007
EI-reg,Emoopt-13b,0.469,0.438,0.030999999999999972
EI-reg,Emoopt-13b,0.206,0.25,-0.04400000000000001
EI-reg,Emoopt-13b,0.758,0.646,0.11199999999999999
EI-reg,Emoopt-13b,0.636,0.583,0.05300000000000005
EI-reg,Emoopt-13b,0.75,0.562,0.18799999999999994
EI-reg,Emoopt-13b,0.241,0.375,-0.134
EI-reg,Emoopt-13b,0.391,0.479,-0.08799999999999997
EI-reg,Emoopt-13b,0.851,0.792,0.05899999999999994
EI-reg,Emoopt-13b,0.547,0.562,-0.015000000000000013
EI-reg,Emoopt-13b,0.328,0.333,-0.0050000000000000044
EI-reg,Emoopt-13b,0.182,0.125,0.056999999999999995
EI-reg,Emoopt-13b,0.468,0.438,0.030000000000000027
EI-reg,Emoopt-13b,0.871,0.792,0.07899999999999996
EI-reg,Emoopt-13b,0.281,0.333,-0.05199999999999999
EI-reg,Emoopt-13b,0.561,0.521,0.040000000000000036
EI-reg,Emoopt-13b,0.484,0.438,0.045999999999999985
EI-reg,Emoopt-13b,0.266,0.312,-0.045999999999999985
EI-reg,Emoopt-13b,0.719,0.583,0.136
EI-reg,Emoopt-13b,0.328,0.354,-0.025999999999999968
EI-reg,Emoopt-13b,0.688,0.521,0.16699999999999993
EI-reg,Emoopt-13b,0.258,0.333,-0.07500000000000001
EI-reg,Emoopt-13b,0.703,0.479,0.22399999999999998
EI-reg,Emoopt-13b,0.828,0.771,0.05699999999999994
EI-reg,Emoopt-13b,0.618,0.458,0.15999999999999998
EI-reg,Emoopt-13b,0.453,0.583,-0.12999999999999995
EI-reg,Emoopt-13b,0.696,0.583,0.11299999999999999
EI-reg,Emoopt-13b,0.641,0.438,0.203
EI-reg,Emoopt-13b,0.5,0.604,-0.10399999999999998
EI-reg,Emoopt-13b,0.406,0.354,0.052000000000000046
EI-reg,Emoopt-13b,0.438,0.312,0.126
EI-reg,Emoopt-13b,0.078,0.125,-0.047
EI-reg,Emoopt-13b,0.516,0.479,0.03700000000000003
EI-reg,Emoopt-13b,0.344,0.375,-0.031000000000000028
EI-reg,Emoopt-13b,0.484,0.438,0.045999999999999985
EI-reg,Emoopt-13b,0.469,0.458,0.010999999999999954
EI-reg,Emoopt-13b,0.656,0.646,0.010000000000000009
EI-reg,Emoopt-13b,0.394,0.396,-0.0020000000000000018
EI-reg,Emoopt-13b,0.469,0.521,-0.052000000000000046
EI-reg,Emoopt-13b,0.792,0.646,0.14600000000000002
EI-reg,Emoopt-13b,0.111,0.25,-0.139
EI-reg,Emoopt-13b,0.175,0.125,0.04999999999999999
EI-reg,Emoopt-13b,0.313,0.417,-0.10399999999999998
EI-reg,Emoopt-13b,0.688,0.521,0.16699999999999993
EI-reg,Emoopt-13b,0.813,0.583,0.22999999999999998
EI-reg,Emoopt-13b,0.438,0.354,0.08400000000000002
EI-reg,Emoopt-13b,0.641,0.604,0.03700000000000003
EI-reg,Emoopt-13b,0.781,0.521,0.26
EI-reg,Emoopt-13b,0.318,0.396,-0.07800000000000001
EI-reg,Emoopt-13b,0.391,0.438,-0.046999999999999986
EI-reg,Emoopt-13b,0.391,0.354,0.03700000000000003
EI-reg,Emoopt-13b,0.453,0.562,-0.10900000000000004
EI-reg,Emoopt-13b,0.47,0.542,-0.07200000000000006
EI-reg,Emoopt-13b,0.4,0.521,-0.121
EI-reg,Emoopt-13b,0.848,0.833,0.015000000000000013
EI-reg,Emoopt-13b,0.924,0.646,0.278
EI-reg,Emoopt-13b,0.333,0.438,-0.10499999999999998
EI-reg,Emoopt-13b,0.406,0.375,0.031000000000000028
EI-reg,Emoopt-13b,0.625,0.521,0.10399999999999998
EI-reg,Emoopt-13b,0.281,0.146,0.13500000000000004
EI-reg,Emoopt-13b,0.5,0.479,0.02100000000000002
EI-reg,Emoopt-13b,0.375,0.479,-0.10399999999999998
EI-reg,Emoopt-13b,0.594,0.542,0.051999999999999935
EI-reg,Emoopt-13b,0.422,0.333,0.08899999999999997
EI-reg,Emoopt-13b,0.227,0.375,-0.148
EI-reg,Emoopt-13b,0.641,0.625,0.016000000000000014
EI-reg,Emoopt-13b,0.545,0.604,-0.05899999999999994
EI-reg,Emoopt-13b,0.652,0.542,0.10999999999999999
EI-reg,Emoopt-13b,0.441,0.417,0.02400000000000002
EI-reg,Emoopt-13b,0.203,0.354,-0.15099999999999997
EI-reg,Emoopt-13b,0.484,0.458,0.025999999999999968
EI-reg,Emoopt-13b,0.422,0.458,-0.03600000000000003
EI-reg,Emoopt-13b,0.788,0.583,0.20500000000000007
EI-reg,Emoopt-13b,0.438,0.521,-0.08300000000000002
EI-reg,Emoopt-13b,0.516,0.438,0.07800000000000001
EI-reg,Emoopt-13b,0.422,0.521,-0.09900000000000003
EI-reg,Emoopt-13b,0.438,0.438,0.0
EI-reg,Emoopt-13b,0.469,0.542,-0.07300000000000006
EI-reg,Emoopt-13b,0.565,0.521,0.04399999999999993
EI-reg,Emoopt-13b,0.656,0.542,0.11399999999999999
EI-reg,Emoopt-13b,0.766,0.625,0.14100000000000001
EI-reg,Emoopt-13b,0.516,0.542,-0.026000000000000023
EI-reg,Emoopt-13b,0.797,0.771,0.026000000000000023
EI-reg,Emoopt-13b,0.452,0.354,0.09800000000000003
EI-reg,Emoopt-13b,0.844,0.646,0.19799999999999995
EI-reg,Emoopt-13b,0.563,0.479,0.08399999999999996
EI-reg,Emoopt-13b,0.5,0.583,-0.08299999999999996
EI-reg,Emoopt-13b,0.469,0.479,-0.010000000000000009
EI-reg,Emoopt-13b,0.609,0.521,0.08799999999999997
EI-reg,Emoopt-13b,0.556,0.562,-0.006000000000000005
EI-reg,Emoopt-13b,0.361,0.25,0.11099999999999999
EI-reg,Emoopt-13b,0.172,0.25,-0.07800000000000001
EI-reg,Emoopt-13b,0.645,0.583,0.062000000000000055
EI-reg,Emoopt-13b,0.516,0.479,0.03700000000000003
EI-reg,Emoopt-13b,0.813,0.792,0.020999999999999908
EI-reg,Emoopt-13b,0.438,0.542,-0.10400000000000004
EI-reg,Emoopt-13b,0.375,0.458,-0.08300000000000002
EI-reg,Emoopt-13b,0.364,0.438,-0.07400000000000001
EI-reg,Emoopt-13b,0.5,0.479,0.02100000000000002
EI-reg,Emoopt-13b,0.507,0.521,-0.014000000000000012
EI-reg,Emoopt-13b,0.438,0.375,0.063
EI-reg,Emoopt-13b,0.306,0.375,-0.069
EI-reg,Emoopt-13b,0.781,0.771,0.010000000000000009
EI-reg,Emoopt-13b,0.516,0.521,-0.0050000000000000044
EI-reg,Emoopt-13b,0.177,0.292,-0.11499999999999999
EI-reg,Emoopt-13b,0.868,0.771,0.09699999999999998
EI-reg,Emoopt-13b,0.594,0.604,-0.010000000000000009
EI-reg,Emoopt-13b,0.547,0.583,-0.03599999999999992
EI-reg,Emoopt-13b,0.438,0.417,0.02100000000000002
EI-reg,Emoopt-13b,0.5,0.562,-0.062000000000000055
EI-reg,Emoopt-13b,0.469,0.479,-0.010000000000000009
EI-reg,Emoopt-13b,0.641,0.604,0.03700000000000003
EI-reg,Emoopt-13b,0.394,0.354,0.040000000000000036
EI-reg,Emoopt-13b,0.406,0.354,0.052000000000000046
EI-reg,Emoopt-13b,0.141,0.354,-0.213
EI-reg,Emoopt-13b,0.408,0.375,0.032999999999999974
EI-reg,Emoopt-13b,0.424,0.417,0.007000000000000006
EI-reg,Emoopt-13b,0.813,0.729,0.08399999999999996
EI-reg,Emoopt-13b,0.515,0.438,0.07700000000000001
EI-reg,Emoopt-13b,0.5,0.417,0.08300000000000002
EI-reg,Emoopt-13b,0.531,0.521,0.010000000000000009
EI-reg,Emoopt-13b,0.446,0.354,0.09200000000000003
EI-reg,Emoopt-13b,0.227,0.292,-0.06499999999999997
EI-reg,Emoopt-13b,0.576,0.521,0.05499999999999994
EI-reg,Emoopt-13b,0.734,0.604,0.13
EI-reg,Emoopt-13b,0.922,0.708,0.21400000000000008
EI-reg,Emoopt-13b,0.5,0.417,0.08300000000000002
EI-reg,Emoopt-13b,0.313,0.438,-0.125
EI-reg,Emoopt-13b,0.288,0.375,-0.08700000000000002
EI-reg,Emoopt-13b,0.438,0.479,-0.04099999999999998
EI-reg,Emoopt-13b,0.375,0.458,-0.08300000000000002
EI-reg,Emoopt-13b,0.422,0.417,0.0050000000000000044
EI-reg,Emoopt-13b,0.25,0.271,-0.02100000000000002
EI-reg,Emoopt-13b,0.877,0.688,0.18900000000000006
EI-reg,Emoopt-13b,0.531,0.396,0.135
EI-reg,Emoopt-13b,0.172,0.25,-0.07800000000000001
EI-reg,Emoopt-13b,0.875,0.812,0.06299999999999994
EI-reg,Emoopt-13b,0.641,0.375,0.266
EI-reg,Emoopt-13b,0.438,0.438,0.0
EI-reg,Emoopt-13b,0.344,0.354,-0.010000000000000009
EI-reg,Emoopt-13b,0.516,0.521,-0.0050000000000000044
EI-reg,Emoopt-13b,0.554,0.562,-0.008000000000000007
EI-reg,Emoopt-13b,0.818,0.583,0.235
EI-reg,Emoopt-13b,0.632,0.604,0.028000000000000025
EI-reg,Emoopt-13b,0.797,0.771,0.026000000000000023
EI-reg,Emoopt-13b,0.75,0.729,0.02100000000000002
EI-reg,Emoopt-13b,0.484,0.479,0.0050000000000000044
EI-reg,Emoopt-13b,0.677,0.562,0.11499999999999999
EI-reg,Emoopt-13b,0.469,0.604,-0.135
EI-reg,Emoopt-13b,0.516,0.375,0.14100000000000001
EI-reg,Emoopt-13b,0.581,0.542,0.038999999999999924
EI-reg,Emoopt-13b,0.809,0.646,0.16300000000000003
EI-reg,Emoopt-13b,0.591,0.583,0.008000000000000007
EI-reg,Emoopt-13b,0.547,0.583,-0.03599999999999992
EI-reg,Emoopt-13b,0.547,0.417,0.13000000000000006
EI-reg,Emoopt-13b,0.688,0.479,0.20899999999999996
EI-reg,Emoopt-13b,0.113,0.208,-0.09499999999999999
EI-reg,Emoopt-13b,0.274,0.271,0.0030000000000000027
EI-reg,Emoopt-13b,0.5,0.521,-0.02100000000000002
EI-reg,Emoopt-13b,0.469,0.438,0.030999999999999972
EI-reg,Emoopt-13b,0.406,0.375,0.031000000000000028
EI-reg,Emoopt-13b,0.197,0.375,-0.178
EI-reg,Emoopt-13b,0.703,0.458,0.24499999999999994
EI-reg,Emoopt-13b,0.906,0.75,0.15600000000000003
EI-reg,Emoopt-13b,0.438,0.438,0.0
EI-reg,Emoopt-13b,0.766,0.729,0.03700000000000003
EI-reg,Emoopt-13b,0.439,0.396,0.04299999999999998
EI-reg,Emoopt-13b,0.547,0.562,-0.015000000000000013
EI-reg,Emoopt-13b,0.719,0.458,0.26099999999999995
EI-reg,Emoopt-13b,0.419,0.562,-0.14300000000000007
EI-reg,Emoopt-13b,0.5,0.479,0.02100000000000002
EI-reg,Emoopt-13b,0.848,0.729,0.119
EI-reg,Emoopt-13b,0.394,0.375,0.019000000000000017
EI-reg,Emoopt-13b,0.469,0.479,-0.010000000000000009
EI-reg,Emoopt-13b,0.667,0.583,0.08400000000000007
EI-reg,Emoopt-13b,0.578,0.521,0.05699999999999994
EI-reg,Emoopt-13b,0.516,0.375,0.14100000000000001
EI-reg,Emoopt-13b,0.387,0.271,0.11599999999999999
EI-reg,Emoopt-13b,0.594,0.583,0.01100000000000001
EI-reg,Emoopt-13b,0.406,0.458,-0.05199999999999999
EI-reg,Emoopt-13b,0.438,0.458,-0.020000000000000018
EI-reg,Emoopt-13b,0.75,0.625,0.125
EI-reg,Emoopt-13b,0.703,0.646,0.05699999999999994
EI-reg,Emoopt-13b,0.469,0.542,-0.07300000000000006
EI-reg,Emoopt-13b,0.641,0.667,-0.026000000000000023
EI-reg,Emoopt-13b,0.766,0.521,0.245
EI-reg,Emoopt-13b,0.266,0.354,-0.08799999999999997
EI-reg,Emoopt-13b,0.469,0.417,0.05199999999999999
EI-reg,Emoopt-13b,0.359,0.375,-0.016000000000000014
EI-reg,Emoopt-13b,0.455,0.479,-0.023999999999999966
EI-reg,Emoopt-13b,0.294,0.375,-0.08100000000000002
EI-reg,Emoopt-13b,0.75,0.646,0.10399999999999998
EI-reg,Emoopt-13b,0.75,0.562,0.18799999999999994
EI-reg,Emoopt-13b,0.808,0.604,0.20400000000000007
EI-reg,Emoopt-13b,0.75,0.688,0.062000000000000055
EI-reg,Emoopt-13b,0.625,0.521,0.10399999999999998
EI-reg,Emoopt-13b,0.516,0.479,0.03700000000000003
EI-reg,Emoopt-13b,0.439,0.417,0.02200000000000002
EI-reg,Emoopt-13b,0.288,0.479,-0.191
EI-reg,Emoopt-13b,0.344,0.375,-0.031000000000000028
EI-reg,Emoopt-13b,0.547,0.542,0.0050000000000000044
EI-reg,Emoopt-13b,0.265,0.333,-0.068
EI-reg,Emoopt-13b,0.672,0.542,0.13
EI-reg,Emoopt-13b,0.712,0.583,0.129
EI-reg,Emoopt-13b,0.71,0.729,-0.019000000000000017
EI-reg,Emoopt-13b,0.734,0.708,0.026000000000000023
EI-reg,Emoopt-13b,0.813,0.771,0.041999999999999926
EI-reg,Emoopt-13b,0.712,0.75,-0.038000000000000034
EI-reg,Emoopt-13b,0.5,0.521,-0.02100000000000002
EI-reg,Emoopt-13b,0.609,0.562,0.04699999999999993
EI-reg,Emoopt-13b,0.109,0.125,-0.016
EI-reg,Emoopt-13b,0.613,0.646,-0.03300000000000003
EI-reg,Emoopt-13b,0.125,0.125,0.0
EI-reg,Emoopt-13b,0.667,0.604,0.06300000000000006
EI-reg,Emoopt-13b,0.632,0.562,0.06999999999999995
EI-reg,Emoopt-13b,0.774,0.646,0.128
EI-reg,Emoopt-13b,0.266,0.312,-0.045999999999999985
EI-reg,Emoopt-13b,0.412,0.125,0.287
EI-reg,Emoopt-13b,0.813,0.688,0.125
EI-reg,Emoopt-13b,0.918,0.833,0.08500000000000008
EI-reg,Emoopt-13b,0.188,0.25,-0.062
EI-reg,Emoopt-13b,0.313,0.375,-0.062
EI-reg,Emoopt-13b,0.656,0.375,0.281
EI-reg,Emoopt-13b,0.194,0.417,-0.22299999999999998
EI-reg,Emoopt-13b,0.625,0.521,0.10399999999999998
EI-reg,Emoopt-13b,0.516,0.812,-0.29600000000000004
EI-reg,Emoopt-13b,0.266,0.417,-0.15099999999999997
EI-reg,Emoopt-13b,0.328,0.188,0.14
EI-reg,Emoopt-13b,0.636,0.729,-0.09299999999999997
EI-reg,Emoopt-13b,0.672,0.688,-0.015999999999999903
EI-reg,Emoopt-13b,0.545,0.479,0.06600000000000006
EI-reg,Emoopt-13b,0.641,0.521,0.12
EI-reg,Emoopt-13b,0.688,0.542,0.1459999999999999
EI-reg,Emoopt-13b,0.328,0.25,0.07800000000000001
EI-reg,Emoopt-13b,0.788,0.583,0.20500000000000007
EI-reg,Emoopt-13b,0.625,0.458,0.16699999999999998
EI-reg,Emoopt-13b,0.422,0.333,0.08899999999999997
EI-reg,Emoopt-13b,0.25,0.396,-0.14600000000000002
EI-reg,Emoopt-13b,0.442,0.521,-0.07900000000000001
EI-reg,Emoopt-13b,0.641,0.583,0.05800000000000005
